Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Enrolled,Review,Total Course Duration (Days),Is Paid,Difficulty Level
MITx,6.002x,2012,Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",36105,3003,419,No,Moderate
MITx,6.00x,2012,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,62709,5783,884,No,Low
MITx,3.091x,2012,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",16663,2082,228,No,Low
HarvardX,CS50x,2012,Introduction to Computer Science,"David Malan, Nate Hardison, Rob Bowden, Tommy MacWilliam, Zamyla Chan",Computer Science,129400,1439,221,No,Low
HarvardX,PH207x,2012,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano","Government, Health, and Social Science",52521,5058,804,No,Low
MITx,6.00x,2013,Introduction to Computer Science and Programming,Larry Rudolph,Computer Science,65380,3313,639,No,Low
MITx,3.091x,2013,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",8270,547,68,No,Low
MITx,14.73x,2013,The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",29044,4607,279,No,Low
MITx,8.02x,2013,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",39178,1722,380,No,Moderate
HarvardX,ER22x,2013,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",58779,5438,187,No,Low
MITx,6.002x,2013,Circuits and Electronics,Tania Khanna,"Science, Technology, Engineering, and Mathematics",16752,1103,149,No,Moderate
MITx,7.00x,2013,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",28535,3242,477,No,Low
HarvardX,CB22x,2013,The Ancient Greek Hero,"Greg Nagy, L.Muellner","Humanities, History, Design, Religion, and Education",25873,1395,141,No,Low
MITx,2.01x,2013,Elements of Structures,"Simona Socrate, Alexie Kolpak","Science, Technology, Engineering, and Mathematics",8736,817,85,No,Moderate
HarvardX,PH278x,2013,Human Health and Global Environmental Change,"Aaron Bernstein, Jack Spengler","Government, Health, and Social Science",23179,2743,111,No,Moderate
MITx,8.MREV,2013,Mechanics ReView,"David Pritchard, Colin Fredericks","Science, Technology, Engineering, and Mathematics",15350,1033,146,No,Low
MITx,3.091x,2013,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",11961,382,95,No,Low
HarvardX,CB22.1x,2013,The Ancient Greek Hero,Greg Nagy,"Humanities, History, Design, Religion, and Education",17604,728,66,No,Low
MITx,8.01x,2013,Classical Mechanics,Walter Lewin,"Science, Technology, Engineering, and Mathematics",35903,1822,453,No,High
