course_id,Title,Overall_Rating,Topic,Instructor,Video_Duration_Hr,Is Paid,Price
0,Complete Hypnotherapy & Hypnosis Certification Diploma,4.7,Hypnotherapy,Dr Karen E Wells,3,YES,104.98
1,Pinterest Marketing for Wedding Professionals 2020,5,Pinterest Marketing,Staci Nichols,0.6,YES,29.98
2,Master the Telephone Sales- Cold calling Secrets,4.5,Marketing Strategy,Sanjay Bhasin,0.733333333333333,YES,29.98
3,5 Practical Management concepts you MUST know,5,Management Skills,Vasudev Murthy,2,YES,49.98
4,Fermented Foods Mastery,4.5,Fermented Foods,Kale Brock,1.5,YES,68.98
5,Your Guide To Creating Money-Savvy Kids,5,Personal Finance,Jeremy Saker,1.5,YES,29.98
6,Wix Master Course: Make A Website with Wix ,4.4,Wix,Nickie Rowley,4.5,YES,40.98
7,"The Complete App Design Course - UX, UI and Design Thinking",4.4,Mobile App Design,App Brewery Co.,3,YES,128.98
8,Product Marketing Fundamentals,4.5,Marketing Strategy,Institute of Product Leadership,2.5,YES,49.98
9,Analog Circuit Crash Course for VLSI Interview and GATE exam,5,VLSI,Learnin28days Academy,7,YES,29.98
10,How to write your teaching portfolio,5,Professional Portfolio,Dr. Elisabeth Weber,2,YES,128.98
11,Procedural Materials In Blender,0,Blender,Canopy Games,3.5,YES,29.98
12,Indicators of attacks by using Wireshark,5,Cyber Security,Ali N F,4.5,YES,128.98
13,Creative Ideas for Logo Animation,4.5,Motion Graphics,Tiger Verse,0.55,YES,59.98
14,Learn to Sing Beginner to Pro! - #1 Complete Singing Course,4.7,Singing,Emily Reed,1.5,YES,108.98
15,Grow Your Network With Live Streams on Meerkat,5,Live Streaming,Benjamin East,0.716666666666666,YES,29.98
16,Find your dream job/ internship using Angel List Talent,4.3,Job Search,Studism Classes,0.566666666666666,YES,29.98
17,Create Your Own VirtualBox Windows Server Lab from Scratch!,5,VirtualBox,"Alton Hardin | 100,000+ Enrollments Worldwide",2.5,YES,40.98
18,Managing International Teams: your Keys to Success,5,Virtual Teams,Nathalie Delplanque,1,YES,68.98
19,Introduction to Mind Mapping,5,Mind Mapping,Jayne Cormie,3,YES,59.98
20,Learn piano or keyboard from scratch - Complete piano course,4.7,Piano,Martin Cohen,22.5,YES,128.98
21,Consciously Creating - Healing Your Unconscious Patterns,5,Self-Acceptance,Julia Chi Taylor,3,YES,55.98
22,Nikon DSLR Photography: Getting Started with Your DSLR,4.5,DSLR,Phil Ebiner,2,YES,108.98
23,The Scrum Bootcamp | Scrum Practices | Scrum Case Studies,4.6,Scrum,"Elite Instructors, PMP Â®, RMPÂ®, ACPÂ®, PRINCE2Â® Practitioner",5,YES,128.98
24,Songwriting Basics for Ballads in 7 Easy Steps,0,Songwriting,Franco Bello,1.5,YES,34.98
25,Hotel Management - Night Auditing Procedures,3,Hotel Management,RAVI Sharma Hospitality Academy,1.5,YES,29.98
26,Adobe Connect Basic Tools,0,Video Conferencing,Penta Teknoloji,1.5,YES,128.98
27,NAVIGATION: Piloting Small Boats,3.5,Marine Navigation,Larry Prucha,1.5,YES,29.98
28,Blue Prism Foundation Course,4.6,Blue Prism,Arun Nair,6,YES,29.98
29,Facebook Accelerator For Artists,5,Facebook Marketing,Melanie Greenwood,1.5,YES,88.98
30,Big Changes Ahead In The US Tax Law-How It Will Affect You?,4.4,Tax Preparation,"Desarie Anderson, CPA, EA",1,YES,68.98
31,The SEO MCQ practice test,5,SEO,WebTech Studies,0,YES,29.98
32,Your Spiritual Ascension: Embrace it! A practical guide,5,Spirituality,Christina Papadopoulou,3,YES,34.98
33,Building a Strong Internal Audit Department,4.3,Internal Auditing,Illumeo Learning,2,YES,59.98
34,"Cost classification, Regression, CVP analysis and Budgeting",5,Management Accounting,Professor Francisco Vigario,9.5,YES,29.98
35,How to Write Comic Strips,5,Comic Book Creation,HowExpert,1.5,YES,40.98
36,"HTML, CSS and Bootstrap Practice Exams",4.9,HTML,Ahmed Magdy,0,YES,55.98
37,Develop your innovation - Certified Design Thinking Bootcamp,4.2,Unknown,Marcin Stasko,2.5,YES,98.98
38,Photography is Easy (In English) by Vishal Diwan,4.7,Unknown,Vishal Diwan,5,YES,128.98
39,US Income Taxes - Income Tax Preparation Simplified for You,4.5,Tax Preparation,Majo Jacinto,2.5,YES,40.98
40,Puppy workshop: Learn how to exercise your puppy safely.,4.8,Dog Care,Louise Harrison,0.5,YES,29.98
41,8-Hour Yoga Alignment Course with Lesley Fightmaster,4.5,Unknown,Lesley Fightmaster,8,YES,78.98
42,3ds max for interior designers,0,3ds Max,Aurelian Castravet,6,YES,104.98
